Date,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,30 Yr
10/01/2019,1.56,1.51,1.51,1.59,1.65,2.11
10/02/2019,1.48,1.43,1.43,1.53,1.60,2.09
10/03/2019,1.39,1.34,1.34,1.45,1.54,2.04
10/04/2019,1.40,1.35,1.34,1.43,1.52,2.01
10/07/2019,1.46,1.41,1.38,1.47,1.56,2.05
10/08/2019,1.42,1.38,1.36,1.45,1.54,2.04
10/09/2019,1.47,1.43,1.40,1.50,1.59,2.08
10/10/2019,1.53,1.49,1.48,1.57,1.67,2.16
10/11/2019,1.63,1.60,1.59,1.68,1.76,2.22
10/15/2019,1.61,1.60,1.59,1.68,1.77,2.23
10/16/2019,1.58,1.57,1.57,1.65,1.75,2.23
10/17/2019,1.60,1.57,1.57,1.66,1.76,2.24
10/18/2019,1.58,1.56,1.56,1.66,1.76,2.25
10/21/2019,1.62,1.59,1.61,1.70,1.80,2.28
10/22/2019,1.60,1.59,1.60,1.68,1.78,2.26
10/23/2019,1.58,1.58,1.58,1.67,1.77,2.25
10/24/2019,1.58,1.58,1.58,1.67,1.77,2.26
10/25/2019,1.63,1.62,1.62,1.71,1.80,2.29
10/28/2019,1.64,1.65,1.66,1.75,1.85,2.34
10/29/2019,1.64,1.65,1.66,1.74,1.84,2.33
10/30/2019,1.61,1.60,1.61,1.69,1.78,2.26
10/31/2019,1.52,1.52,1.51,1.60,1.69,2.17